Wall time,Step,Value
1723637262.3238018,0,0.12280339002609253
1723637462.3238018,1,0.09572048485279083
1723637608.838704,2,0.09068982303142548
1723637752.3160183,3,0.0901385173201561
1723637902.0837424,4,0.08786437660455704
1723638053.0461247,5,0.08683068305253983
1723638208.2908711,6,0.08641719818115234
1723638357.532244,7,0.08689959347248077
1723638505.8498955,8,0.08676176518201828
1723638656.756357,9,0.08972503989934921
1723638800.640546,10,0.08627937734127045
